EndingDate,Number1,Number2,Number3,Number4,Number5,Number6,YottaBallNumber
2021-03-28,16,37,45,43,17,44,56
2021-03-21,1,24,52,31,54,4,17
2021-03-14,13,21,65,3,5,41,19
2021-03-07,69,14,25,11,57,45,38
2021-02-28,26,20,27,1,48,58,16
2021-02-21,20,35,6,42,11,47,18
2021-02-14,34,61,2,10,65,33,44
2021-02-07,27,19,53,54,57,68,15
2021-01-31,3,9,43,63,50,59,14
2021-01-24,63,55,36,53,35,40,1
2021-01-17,5,56,19,62,9,21,52
2021-01-10,64,7,28,10,17,57,26
2021-01-03,29,19,63,51,5,24,55
2020-12-27,48,7,16,8,9,26,55
2020-12-20,31,55,42,56,47,12,3
2020-12-13,45,65,63,29,4,48,12
2020-12-06,25,34,60,11,20,24,13
2020-11-29,24,19,12,29,2,30,6
2020-11-22,6,25,9,5,7,33,46
2020-11-15,8,18,70,11,51,69,43
2020-11-08,42,15,39,1,69,62,61
2020-11-01,34,56,50,70,65,10,29
2020-10-25,13,2,42,48,3,27,30
2020-10-18,32,49,38,11,7,39,62
2020-10-11,49,2,53,55,51,12,7
2020-10-04,17,22,27,38,20,63,48
2020-09-27,28,48,15,64,19,5,36
