EndingDate,Number1,Number2,Number3,Number4,Number5,Number6,YottaBallNumber
10/16/2022,68,67,48,1,41,20,28
10/9/2022,25,48,52,61,37,49,26
10/2/2022,36,1,9,6,56,41,40
9/25/2022,3,18,14,21,63,44,6
9/18/2022,51,27,46,20,43,5,24
9/11/2022,20,58,39,42,45,23,11
9/4/2022,19,56,48,41,26,22,20
8/28/2022,3,20,27,21,47,45,6
8/21/2022,68,53,66,34,33,29,20
8/14/2022,1,52,53,13,54,16,36
8/7/2022,67,15,31,68,33,38,13
7/31/2022,35,1,46,45,20,26,4
7/24/2022,3,23,59,6,54,24,45
7/17/2022,50,49,7,61,37,36,2
7/10/2022,55,41,8,51,40,53,25
7/3/2022,2,8,68,35,14,53,57
6/26/2022,2,20,43,42,69,5,51
6/19/2022,59,29,17,35,42,16,2
6/12/2022,68,62,37,31,65,57,40
6/5/2022,12,55,44,54,49,60,37
5/29/2022,26,54,22,2,36,39,52
5/22/2022,8,36,63,42,11,57,27
5/15/2022,20,9,38,68,58,15,34
5/8/2022,2,12,31,49,10,4,1
5/1/2022,11,48,56,50,45,30,21
4/24/2022,50,15,48,32,41,55,13
4/17/2022,33,29,58,34,9,50,48
4/10/2022,13,39,54,18,28,29,19
4/3/2022,60,14,28,32,50,2,44
3/27/2022,51,19,30,17,41,39,57
3/20/2022,24,4,44,17,31,2,26
3/13/2022,38,52,23,69,5,42,17
3/6/2022,45,51,38,63,29,49,12
2/27/2022,39,18,6,2,47,16,22
2/20/2022,21,4,60,65,28,2,47
2/13/2022,15,47,45,48,58,33,23
2/6/2022,58,6,48,22,53,49,2
1/30/2022,41,17,16,15,10,50,60
1/23/2022,63,24,42,58,57,13,62
1/16/2022,51,15,2,13,64,60,47
1/9/2022,48,19,23,12,14,66,38
1/2/2022,34,25,39,32,38,46,47
12/26/2021,2,8,12,48,14,32,16
12/19/2021,21,23,36,65,2,34,53
12/12/2021,43,18,13,58,60,48,37
12/5/2021,60,18,45,21,33,13,55
11/28/2021,4,23,3,39,60,46,14
11/21/2021,69,7,11,42,59,40,47
11/14/2021,43,47,28,31,3,8,23
11/7/2021,22,10,68,33,12,26,40
10/31/2021,8,14,19,69,46,64,43
10/24/2021,56,54,66,19,61,11,44
10/17/2021,54,28,10,62,14,52,21
10/10/2021,7,14,6,25,5,62,46
10/3/2021,38,4,26,56,19,8,30
9/26/2021,42,40,2,15,28,21,7
9/19/2021,59,70,41,34,35,55,11
9/12/2021,46,25,7,31,60,6,28
9/5/2021,38,4,37,64,46,10,16
8/29/2021,3,46,53,12,33,56,40
8/22/2021,60,67,15,58,29,34,54
8/15/2021,24,9,12,22,18,4,23
8/8/2021,67,65,46,26,21,22,59
8/1/2021,59,13,67,28,47,31,30
7/25/2021,51,35,9,53,48,3,9
7/18/2021,34,39,32,37,59,57,10
7/11/2021,25,28,52,55,60,1,47
7/4/2021,60,46,4,40,13,34,8
6/27/2021,64,49,18,65,59,63,27
6/20/2021,57,20,14,53,52,47,25
6/13/2021,43,22,7,57,30,27,24
6/6/2021,1,21,10,2,22,62,13
5/30/2021,36,49,2,15,10,26,56
5/23/2021,49,57,25,6,13,33,51
5/16/2021,65,63,12,18,8,70,21
5/9/2021,64,22,19,17,23,51,41
5/2/2021,1,39,53,66,13,24,4
4/25/2021,23,18,50,5,13,9,39
4/18/2021,7,49,20,18,26,67,5
4/11/2021,41,57,48,58,62,16,22
4/4/2021,23,41,26,7,28,58,2
3/28/2021,16,37,45,43,17,44,56
3/21/2021,1,24,52,31,54,4,17
3/14/2021,13,21,65,3,5,41,19
3/7/2021,69,14,25,11,57,45,38
2/28/2021,26,20,27,1,48,58,16
2/21/2021,20,35,6,42,11,47,18
2/14/2021,34,61,2,10,65,33,44
2/7/2021,27,19,53,54,57,68,15
1/31/2021,3,9,43,63,50,59,14
1/24/2021,63,55,36,53,35,40,1
1/17/2021,5,56,19,62,9,21,52
1/10/2021,64,7,28,10,17,57,26
1/3/2021,29,19,63,51,5,24,55
12/27/2020,48,7,16,8,9,26,55
12/20/2020,31,55,42,56,47,12,3
12/13/2020,45,65,63,29,4,48,12
12/6/2020,25,34,60,11,20,24,13
11/29/2020,24,19,12,29,2,30,6
11/22/2020,6,25,9,5,7,33,46
11/15/2020,8,18,70,11,51,69,43
11/8/2020,42,15,39,1,69,62,61
11/1/2020,34,56,50,70,65,10,29
10/25/2020,13,2,42,48,3,27,30
10/18/2020,32,49,38,11,7,39,62
10/11/2020,49,2,53,55,51,12,7
10/4/2020,17,22,27,38,20,63,48
9/27/2020,28,48,15,64,19,5,36
